Caja	MA	MD	LAC	VA	VD	MANITOL	NA	ND	Tratamiento
Z1	23	0	P	0	0	N	126	300	Alcohol
Z2	0	0	N	4	0	N	39	160	Alcohol
Z3	274	51	N	0	0	N	145	87	Alcohol
Z4	1	0	P	0	0	N	1	1	Soplado
Z5	300	0	P	0	0	N	300	139	Soplado
Z6	300	1	P	0	0	N	300	300	Soplado
Z7	300	0	P	0	0	N	300	85	Soplado
Z8	0	0	N	0	0	N	1	0	A+S
Z9	300	300	N	0	0	N	300	300	A+S
ZControl	80	0	P	0	0	N	300	300	Control
W7	1	0	N	0	0	N	300	1	Alcohol
W2	0	0	N	0	0	N	0	0	Alcohol
W66	300	150	P	0	0	N	300	300	Control
W63	0	0	N	0	0	N	0	0	A+S
W59	57	14	N	1	3	N	300	300	Soplado
W61	0	0	N	0	0	N	1	1	Soplado
W8	10	1	N	0	0	N	30	12	Soplado
W4	66	8	N	0	0	N	117	5	Alcohol
W65	185	137	P	0	0	N	182	168	A+S
W9	0	0	N	9	0	N	206	119	Soplado
Ml66	0	0	N	0	0	N	0	0	A+S
ML4	300	300	P	0	0	N	300	300	Alcohol
Ml7	300	67	P	0	0	N	56	300	Soplado
Ml3	300	300	P	0	0	N	300	300	Alcohol
Ml68	231	52	N	0	0	N	82	74	Control
Ml2	0	0	N	0	0	P	12	9	Alcohol
Ml9	0	0	N	0	0	N	10	10	Soplado
Ml6	0	0	N	0	0	N	15	2	Soplado
Ml65	116	39	P	0	0	N	239	134	A+S
Ml64	0	0	N	0	0	N	0	0	Soplado
