ClutchS	egg_size
26	50
26	50
26	51,5
24	51,5
24	57,8
24	57,5
24	59,534
23	59,225
23	65
23	61,5
23	66,95
23	63,345
22	69
22	53,9
22	71,07
22	55,517
21	80
21	73
21	82,4
21	75,19
20	88,9
20	91,567
20	80,5
20	82,915
19	91,5
19	81,1
18	65,6
18	94,245
17	83,533
17	67,568
16	73,7
16	69,4
15	75,911
15	71,482
14	95,5
14	84
13	98,365
13	86,52
12	103
12	85
12	72,5
12	106,09
11	87,55
11	74,675
10	100,6
10	88
9	79,5
9	103,618
8	90,64
7	81,885
6	96,7
5	99,601
4	116,1
3	119,583
3	104,4
2	107,532
2	120
