Individuo	Edad	Sexo 	Fuma 	Consumo_drogas	Promedio 	Estrato 	Cuidad	Tipo_universidad
1	20	F	SI	NO	2.84	6	Bogota 	1
2	19	F	NO	NO	4.35	5	Cali	1
3	23	F	SI	SI	3.33	5	Medellin	2
4	22	M	NO	NO	3.48	3	Medellin	2
5	23	M	SI	NO	4.29	3	Medellin	2
6	21	F	SI	NO	3.22	6	Cali	2
7	19	M	SI	SI	3.96	4	Cali	1
8	19	F	SI	SI	3.95	5	Cali	2
9	24	M	SI	NO	2.89	4	Cali	1
10	20	F	SI	SI	4.92	4	Bogota 	2
11	21	M	SI	NO	2.49	5	Medellin	1
12	20	F	SI	SI	2.73	3	Bogota 	2
13	21	F	SI	NO	4.35	3	Cali	1
14	23	F	SI	NO	3.53	5	Medellin	2
15	24	F	NO	SI	3.42	4	Cali	2
16	19	M	NO	NO	4.79	5	Cali	1
17	19	M	SI	NO	3.99	5	Bogota 	2
18	20	M	SI	SI	3.77	5	Bogota 	2
19	25	F	NO	SI	3.87	6	Bogota 	2
20	24	F	NO	NO	2.33	5	Bogota 	2
21	24	M	SI	SI	3.30	4	Bogota 	2
22	19	F	SI	NO	3.57	5	Bogota 	1
23	20	M	SI	SI	4.17	5	Medellin	2
24	19	F	SI	NO	4.48	5	Medellin	1
25	25	M	SI	SI	2.32	4	Cali	2
26	19	M	NO	SI	4.53	3	Cali	2
27	24	M	SI	NO	2.23	6	Cali	2
28	22	F	NO	NO	4.89	3	Bogota 	1
29	22	F	NO	NO	3.18	3	Bogota 	1
30	22	F	SI	NO	4.90	4	Bogota 	2
31	21	M	SI	NO	3.28	6	Medellin	2
32	21	F	SI	NO	4.21	4	Medellin	1
33	19	M	SI	NO	2.80	5	Bogota 	1
34	20	F	SI	SI	2.93	3	Cali	1
35	22	M	NO	NO	2.75	3	Bogota 	1
36	21	F	NO	SI	2.04	3	Cali	2
37	25	M	SI	SI	2.57	5	Bogota 	2
38	25	F	SI	NO	3.85	5	Cali	1
39	21	M	SI	NO	2.35	4	Medellin	1
40	22	M	NO	NO	4.31	5	Bogota 	2
41	24	M	SI	NO	4.34	4	Cali	2
42	22	F	NO	NO	4.98	6	Bogota 	2
43	20	F	NO	NO	2.52	6	Medellin	2
44	23	F	SI	NO	3.85	6	Bogota 	1
45	20	F	NO	SI	2.64	6	Cali	1
46	20	F	SI	SI	3.98	6	Cali	2
47	20	F	SI	NO	3.13	5	Cali	2
48	21	M	NO	NO	4.91	4	Cali	1
49	21	M	NO	SI	3.49	5	Bogota 	1
50	24	F	SI	NO	4.99	5	Medellin	1
51	25	M	SI	SI	2.18	6	Bogota 	1
52	21	M	SI	NO	2.71	6	Medellin	2
53	19	M	NO	SI	2.51	3	Bogota 	1
54	19	F	SI	NO	3.78	3	Medellin	2
55	21	M	SI	NO	3.78	6	Medellin	2
56	23	M	NO	SI	3.60	3	Bogota 	1
57	24	M	NO	NO	3.19	4	Cali	2
58	19	F	SI	SI	2.76	6	Bogota 	1
59	25	M	SI	NO	3.91	6	Medellin	2
60	24	F	SI	SI	4.17	3	Medellin	2
